id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
25375;Takuma Asano;798;Pocos minutos;4.24;0.0;0.0
285909;Pablo Torre;798;Pocos minutos;4.61;0.0;0.0
47336;Sergi Darder;798;Estable;4.91;5.17;0.26
50048;Vedat Muriqi;798;Rendimiento Alto;5.31;5.61;0.3
414;Omar Mascarell;798;Estable;4.67;4.92;0.25
46742;Dani Rodríguez;798;Pocos minutos;4.43;0.0;0.0
313059;Mateo Joseph;798;Estable;4.41;4.21;-0.19
920;Toni Lato;798;Pocos minutos;4.36;0.0;0.0
152955;Lucas Bergström;798;Pocos minutos;4.53;0.0;0.0
335697;David López;798;Pocos minutos;3.93;0.0;0.0
293604;Javi Llabrés;798;Pocos minutos;4.01;0.0;0.0
482473;Marc Domenech;798;Pocos minutos;4.19;0.0;0.0
46751;Abdón Prats;798;Pocos minutos;3.94;0.0;0.0
730;Thibaut Courtois;541;Estable;4.47;4.75;0.28
283;Trent Alexander-Arnold;541;Estable;4.82;5.04;0.22
372;Éder Militão;541;Estable;5.12;5.11;-0.0
361497;Dean Huijsen;541;Estable;5.06;5.0;-0.06
284300;Álvaro Carreras;541;Estable;4.91;5.0;0.09
756;Federico Valverde;541;Estable;5.09;5.04;-0.06
1271;Aurélien Tchouaméni;541;Rendimiento Alto;5.12;5.45;0.34
291964;Arda Güler;541;Estable;5.45;5.33;-0.13
744;Brahim Díaz;541;Pocos minutos;4.59;0.0;0.0
278;Kylian Mbappé;541;Estable;5.81;5.9;0.09
762;Vinícius Júnior;541;Rendimiento Bajo;5.39;4.71;-0.68
733;Daniel Carvajal;541;Pocos minutos;4.42;0.0;0.0
449249;Franco Mastantuono;541;Pocos minutos;4.8;0.0;0.0
336711;Gonzalo García;541;Pocos minutos;4.58;0.0;0.0
748;Dani Ceballos;541;Pocos minutos;4.95;0.0;0.0
505;David Alaba;541;Pocos minutos;4.22;0.0;0.0
736;Fran García;541;Estable;4.26;4.17;-0.09
341640;Raúl Asencio;541;Estable;4.63;4.86;0.23
10009;Rodrygo;541;Rendimiento Alto;4.97;5.92;0.95
46646;Sergio Herrera;727;Estable;4.88;4.81;-0.07
279822;Flavien Boyomo;727;Estable;4.81;4.8;-0.01
47533;Alejandro Catena;727;Estable;4.87;4.85;-0.03
46967;Juan Cruz;727;Pocos minutos;4.08;0.0;0.0
21701;Valentin Rosier;727;Estable;4.5;4.37;-0.13
