id_partido;id_equipo;id_jugador;nombre_jugador;probabilidad
1391070;536;48471;Ruben Vargas;0.379
1391085;727;46746;Ante Budimir;0.476
1391085;727;46658;Rubén García;0.376
1391085;727;146751;Raúl García de Haro;0.361
1391085;798;50048;Vedat Muriqi;0.629
1391085;798;190485;Samú Costa;0.321
1391085;798;46742;Dani Rodríguez;0.31
1391083;546;6490;Luis Vázquez;0.646
1391083;546;47472;Borja Mayoral;0.407
1391083;546;403554;Christantus Uche;0.378
1391083;543;47582;Cucho Hernández;0.445
1391083;543;47119;Aitor Ruibal;0.428
1391083;543;1697;Pablo Fornals;0.381
1391082;540;47398;Pere Milla;0.371
1391082;540;184420;Carlos Romero;0.348
1391082;540;312990;Roberto Fernández;0.333
1391082;718;51530;Federico Viñas;0.345
1391082;718;1695;Santi Cazorla;0.31
1391082;718;182486;Alberto Reina;0.308
1391084;539;378284;Etta Eyong;0.378
1391084;539;128985;Iker Losada;0.353
1391084;539;47467;José Luis Morales;0.342
1391084;547;161670;Vladyslav Vanat;0.438
1391084;547;2617;Cristhian Stuani;0.427
1391084;547;2182;Viktor Tsygankov;0.387
1391081;538;269163;Williot Swedberg;0.445
1391081;538;47348;Borja Iglesias;0.416
1391081;538;47445;Iago Aspas;0.329
1391081;541;278;Kylian Mbappé;0.74
1391081;541;762;Vinícius Júnior;0.381
1391081;541;336711;Gonzalo García;0.361
1391086;536;25458;Dodi Lukebakio;0.463
1391086;536;57446;Akor Adams;0.459
1391086;536;48471;Ruben Vargas;0.356
1391086;728;128582;Jorge de Frutos;0.371
1391086;728;47543;Álvaro García;0.338
1391086;728;131546;Isi Palazón;0.33
1391087;532;47264;Hugo Duro;0.405
1391087;532;47463;Pepelu;0.329
1391087;532;918;José Luis Gayà;0.32
1391087;542;608;Lucas Boyé;0.421
1391087;542;187214;Carlos Vicente;0.358
1391087;542;47181;Toni Martínez;0.346
1391079;531;84086;Robert Navarro;0.354
1391079;531;183799;Nico Williams;0.334
1391079;531;30510;Álex Berenguer;0.331
1391079;529;931;Ferran Torres;0.555
1391079;529;1496;Raphinha;0.529
1391079;529;1323;Dani Olmo;0.484
1391080;530;8492;Alexander Sørloth;0.479
1391080;530;56;Antoine Griezmann;0.443
1391080;530;6009;Julián Alvarez;0.354
1391080;548;47323;Mikel Oyarzabal;0.475
1391080;548;925;Gonçalo Guedes;0.405
1391080;548;47440;Brais Méndez;0.36
1391088;533;1707;Gerard Moreno;0.469
1391088;533;182519;Alberto Moleiro;0.465
1391088;533;180496;Georges Mikautadze;0.421
1391088;797;47013;Rafa Mir;0.401
1391088;797;161963;Germán Valera;0.373
1391088;797;271580;Martim Neto;0.353
1391097;548;47323;Mikel Oyarzabal;0.5
1391097;548;925;Gonçalo Guedes;0.454
1391097;548;47440;Brais Méndez;0.407
1391097;727;46746;Ante Budimir;0.551
1391097;727;338751;Victor Muñoz;0.338
1391097;727;46658;Rubén García;0.331
1391094;798;50048;Vedat Muriqi;0.629
1391094;798;190485;Samú Costa;0.321
1391094;798;1701;Manu Morlanes;0.3
1391094;540;47398;Pere Milla;0.371
1391094;540;312990;Roberto Fernández;0.355
1391094;540;184420;Carlos Romero;0.348
1391095;728;128582;Jorge de Frutos;0.418
1391095;728;47543;Álvaro García;0.361
1391095;728;131546;Isi Palazón;0.308
1391095;539;734;Adrián de la Fuente;0.332
1391095;539;378284;Etta Eyong;0.332
1391095;539;128985;Iker Losada;0.331
1391098;718;51530;Federico Viñas;0.345
1391098;718;2461;Salomón Rondón;0.311
1391098;718;182486;Alberto Reina;0.308
1391098;532;47264;Hugo Duro;0.405
1391098;532;47463;Pepelu;0.329
1391098;532;83;Arnaut Danjuma;0.316
1391093;547;2617;Cristhian Stuani;0.452
1391093;547;161670;Vladyslav Vanat;0.438
1391093;547;2182;Viktor Tsygankov;0.435
1391093;531;30510;Álex Berenguer;0.376
1391093;531;47294;Iñaki Williams;0.37
1391093;531;84086;Robert Navarro;0.354
1391092;543;47582;Cucho Hernández;0.445
1391092;543;47119;Aitor Ruibal;0.404
1391092;543;1697;Pablo Fornals;0.381
1391092;538;269163;Williot Swedberg;0.421
1391092;538;47348;Borja Iglesias;0.416
1391092;538;47445;Iago Aspas;0.351
1391089;542;608;Lucas Boyé;0.446
1391089;542;47181;Toni Martínez;0.369
1391089;542;187214;Carlos Vicente;0.358
1391089;533;182519;Alberto Moleiro;0.49
1391089;533;1707;Gerard Moreno;0.469
1391089;533;180496;Georges Mikautadze;0.421
1391091;529;1496;Raphinha;0.578
1391091;529;931;Ferran Torres;0.48
1391091;529;521;Robert Lewandowski;0.463
1391091;536;57446;Akor Adams;0.459
1391091;536;25458;Dodi Lukebakio;0.438
1391091;536;48471;Ruben Vargas;0.379
1391096;541;278;Kylian Mbappé;0.678
1391096;541;336711;Gonzalo García;0.361
1391096;541;762;Vinícius Júnior;0.358
1391096;797;47013;Rafa Mir;0.426
1391096;797;161963;Germán Valera;0.373
1391096;797;343202;Álvaro Rodriguez;0.373
1391090;530;8492;Alexander Sørloth;0.454
1391090;530;56;Antoine Griezmann;0.443
1391090;530;50;Koke;0.351
1391090;546;6490;Luis Vázquez;0.646
1391090;546;47472;Borja Mayoral;0.407
1391090;546;403554;Christantus Uche;0.378
1391102;797;47013;Rafa Mir;0.378
1391102;797;161963;Germán Valera;0.373
1391102;797;343202;Álvaro Rodriguez;0.35
1391102;798;50048;Vedat Muriqi;0.606
1391102;798;1701;Manu Morlanes;0.344
1391102;798;414;Omar Mascarell;0.321
1391106;541;278;Kylian Mbappé;0.72
1391106;541;336711;Gonzalo García;0.361
1391106;541;129718;Jude Bellingham;0.334
1391106;530;8492;Alexander Sørloth;0.479
1391106;530;56;Antoine Griezmann;0.443
1391106;530;6009;Julián Alvarez;0.401
1391103;540;47398;Pere Milla;0.371
1391103;540;47249;Leandro Cabrera;0.351
1391103;540;47349;Javi Puado;0.35
1391103;546;6490;Luis Vázquez;0.646
1391103;546;403554;Christantus Uche;0.378
1391103;546;47472;Borja Mayoral;0.36
1391104;539;378284;Etta Eyong;0.378
1391104;539;182770;Carlos Álvarez;0.34
1391104;539;734;Adrián de la Fuente;0.332
1391104;718;51530;Federico Viñas;0.345
1391104;718;182486;Alberto Reina;0.308
1391104;718;266202;Ilyas Chaira;0.299
1391105;727;46746;Ante Budimir;0.551
1391105;727;338751;Victor Muñoz;0.338
1391105;727;46658;Rubén García;0.331
1391105;547;161670;Vladyslav Vanat;0.463
1391105;547;2182;Viktor Tsygankov;0.435
1391105;547;2617;Cristhian Stuani;0.403
1391107;536;25458;Dodi Lukebakio;0.438
1391107;536;57446;Akor Adams;0.435
1391107;536;48471;Ruben Vargas;0.356
1391107;532;47264;Hugo Duro;0.454
1391107;532;916;Mouctar Diakhaby;0.33
1391107;532;47463;Pepelu;0.329
1391108;533;182519;Alberto Moleiro;0.49
1391108;533;1707;Gerard Moreno;0.469
1391108;533;180496;Georges Mikautadze;0.397
1391108;548;47323;Mikel Oyarzabal;0.525
1391108;548;47440;Brais Méndez;0.432
1391108;548;925;Gonçalo Guedes;0.429
1391099;531;30510;Álex Berenguer;0.376
1391099;531;47294;Iñaki Williams;0.37
1391099;531;84086;Robert Navarro;0.354
1391099;543;47582;Cucho Hernández;0.42
1391099;543;1697;Pablo Fornals;0.405
1391099;543;47119;Aitor Ruibal;0.38
1391100;529;1496;Raphinha;0.504
1391100;529;1323;Dani Olmo;0.484
1391100;529;931;Ferran Torres;0.48
1391100;728;128582;Jorge de Frutos;0.371
1391100;728;47543;Álvaro García;0.361
1391100;728;47285;Unai López;0.332
1391101;538;47348;Borja Iglesias;0.49
1391101;538;269163;Williot Swedberg;0.397
1391101;538;47445;Iago Aspas;0.351
1391101;542;608;Lucas Boyé;0.397
1391101;542;187214;Carlos Vicente;0.358
1391101;542;47181;Toni Martínez;0.346
1391110;530;8492;Alexander Sørloth;0.479
1391110;530;56;Antoine Griezmann;0.371
1391110;530;182219;Alejandro Baena;0.361
1391110;529;931;Ferran Torres;0.555
1391110;529;1496;Raphinha;0.529
1391110;529;1323;Dani Olmo;0.484
1391118;532;47264;Hugo Duro;0.429
1391118;532;47463;Pepelu;0.351
1391118;532;162127;Diego López;0.316
1391118;538;47348;Borja Iglesias;0.49
1391118;538;269163;Williot Swedberg;0.373
1391118;538;47445;Iago Aspas;0.351
1391109;542;608;Lucas Boyé;0.421
1391109;542;187214;Carlos Vicente;0.381
1391109;542;47181;Toni Martínez;0.346
1391109;727;46746;Ante Budimir;0.551
1391109;727;46658;Rubén García;0.376
1391109;727;146751;Raúl García de Haro;0.361
1391111;543;47582;Cucho Hernández;0.445
1391111;543;181421;Abdessamad Ezzalzouli;0.401
1391111;543;47119;Aitor Ruibal;0.38
1391111;540;47398;Pere Milla;0.371
1391111;540;47396;Kike García;0.36
