id_partido;id_jugador;id_equipo;posicion;minutos;nota;capitan;sustituto;goles;penaltis_marcados;asistencias;paradas;goles_concedidos;tiros_totales;tiros_a_puerta;pases_totales;pases_clave;precision_pases;regates_intentados;regates;regateado;duelos_totales;duelos_ganados;faltas_cometidas;faltas_recibidas;entradas;bloqueos;intercepciones;amarilla;roja;penaltis_parados
1391030;18812;543;P;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391030;450714;543;M;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391030;3033;543;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;182718;529;P;90;7.3;False;False;0;0;0;2;1;0;0;43;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;1257;529;DF;84;6.9;False;False;0;0;0;0;0;0;0;55;1;52;1;1;1;7;4;1;0;1;0;1;0;0;0
1391031;396623;529;DF;90;6.3;False;False;0;0;0;0;0;0;0;56;0;52;0;0;0;2;0;1;0;0;0;0;0;0;0
1391031;619;529;DF;90;7.6;False;False;0;0;0;0;0;1;0;55;0;50;0;0;1;13;8;0;0;3;1;3;0;0;0
1391031;161928;529;DF;90;7.2;False;False;0;0;0;0;0;0;0;51;3;47;1;1;0;10;6;1;3;2;0;0;0;0;0
1391031;340626;529;M;84;6.5;False;False;0;0;0;0;0;4;1;37;2;34;1;1;2;8;5;1;3;1;0;0;0;0;0
1391031;538;529;M;90;7.9;True;False;0;0;1;0;0;0;0;60;5;55;1;1;0;7;4;2;1;1;0;1;1;0;0
1391031;1323;529;M;62;6.2;False;False;0;0;1;0;0;2;0;39;2;32;1;0;2;6;2;0;1;1;0;0;0;0;0
1391031;386828;529;DL;90;9.2;False;False;1;0;0;0;0;4;3;57;8;41;7;4;0;13;8;1;2;2;0;0;0;0;0
1391031;931;529;DL;62;7.2;False;False;1;0;0;0;0;7;3;20;0;14;1;1;1;7;5;1;1;0;0;0;0;0;0
1391031;1496;529;DL;45;7.2;False;False;0;0;0;0;0;2;0;22;1;14;3;3;0;4;4;0;0;1;0;1;0;0;0
1391031;909;529;DL;45;8.0;False;True;1;0;0;0;0;2;1;19;1;17;0;0;0;2;2;0;2;0;0;0;0;0;0
1391031;433396;529;M;28;6.9;False;True;0;0;0;0;0;0;0;16;1;15;0;0;0;3;2;1;1;1;0;0;0;0;0
1391031;521;529;DL;28;6.3;False;True;0;0;0;0;0;1;0;11;2;10;1;0;1;7;3;0;1;0;0;0;0;0;0
1391031;101814;529;DF;12;6.6;False;True;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;329728;529;M;11;6.7;False;True;0;0;0;0;0;0;0;3;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0
1391031;851;529;P;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;383647;529;P;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;181701;529;DF;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;855;529;DF;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;338958;529;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;126;797;P;90;6.3;False;False;0;0;0;4;3;0;0;55;0;36;0;0;3;4;1;0;0;0;0;0;0;0;0
1391031;126640;797;DF;74;5.9;True;False;0;0;0;0;0;0;0;29;0;19;1;1;0;6;2;3;1;0;2;0;0;0;0
1391031;162058;797;DF;90;7.6;False;False;0;0;0;0;0;0;0;41;0;39;1;1;1;11;4;2;0;3;3;1;0;0;0
1391031;189866;797;DF;90;6.3;False;False;0;0;0;0;0;0;0;31;0;30;0;0;3;9;3;2;0;3;0;1;1;0;0
1391031;47329;797;M;90;6.5;False;False;0;0;0;0;0;0;0;25;1;20;1;0;4;10;3;2;1;2;0;0;0;0;0
1391031;341371;797;M;90;7.2;False;False;0;0;0;0;0;1;0;40;1;37;5;3;0;14;8;3;3;2;0;1;1;0;0
1391031;187318;797;M;56;6.3;False;False;0;0;0;0;0;0;0;16;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
1391031;161963;797;M;90;7.2;False;False;0;0;1;0;0;1;0;28;2;25;2;1;0;5;4;0;2;1;0;3;0;0;0
1391031;18821;797;DL;60;6.3;False;False;0;0;0;0;0;0;0;14;1;6;0;0;0;0;0;0;0;0;0;1;0;0;0
1391031;343202;797;DL;75;7.9;False;False;1;0;0;0;0;3;1;17;0;14;2;1;0;11;7;0;0;3;0;1;0;0;0
1391031;2063;797;DL;60;6.0;False;False;0;0;0;0;0;0;0;10;1;7;2;0;0;5;0;0;0;0;0;0;0;0;0
