id_tiempo;anio;mes;nombre_mes;dia;nombre_dia;jornada
20200628;2020;6;Junio;28;Domingo;32
20200629;2020;6;Junio;29;Lunes;32
20200630;2020;6;Junio;30;Martes;33
20200701;2020;7;Julio;1;Miércoles;33
20200702;2020;7;Julio;2;Jueves;33
20200703;2020;7;Julio;3;Viernes;34
20200704;2020;7;Julio;4;Sábado;34
20200705;2020;7;Julio;5;Domingo;34
20200706;2020;7;Julio;6;Lunes;34
20200707;2020;7;Julio;7;Martes;35
20200708;2020;7;Julio;8;Miércoles;35
20200709;2020;7;Julio;9;Jueves;35
20200710;2020;7;Julio;10;Viernes;35
20200711;2020;7;Julio;11;Sábado;36
20200712;2020;7;Julio;12;Domingo;36
20200713;2020;7;Julio;13;Lunes;36
20200716;2020;7;Julio;16;Jueves;37
20200719;2020;7;Julio;19;Domingo;38
20200912;2020;9;Septiembre;12;Sábado;1
20200913;2020;9;Septiembre;13;Domingo;1
20200919;2020;9;Septiembre;19;Sábado;2
20200920;2020;9;Septiembre;20;Domingo;2
20200926;2020;9;Septiembre;26;Sábado;3
20200927;2020;9;Septiembre;27;Domingo;3
20200929;2020;9;Septiembre;29;Martes;4
20200930;2020;9;Septiembre;30;Miércoles;4
20201001;2020;10;Octubre;1;Jueves;4
20201003;2020;10;Octubre;3;Sábado;5
20201004;2020;10;Octubre;4;Domingo;5
20201017;2020;10;Octubre;17;Sábado;6
20201018;2020;10;Octubre;18;Domingo;6
20201023;2020;10;Octubre;23;Viernes;7
20201024;2020;10;Octubre;24;Sábado;7
20201025;2020;10;Octubre;25;Domingo;7
20201026;2020;10;Octubre;26;Lunes;7
20201030;2020;10;Octubre;30;Viernes;8
20201031;2020;10;Octubre;31;Sábado;8
20201101;2020;11;Noviembre;1;Domingo;8
20201102;2020;11;Noviembre;2;Lunes;8
20201106;2020;11;Noviembre;6;Viernes;9
20201107;2020;11;Noviembre;7;Sábado;9
20201108;2020;11;Noviembre;8;Domingo;9
20201120;2020;11;Noviembre;20;Viernes;10
20201121;2020;11;Noviembre;21;Sábado;10
20201122;2020;11;Noviembre;22;Domingo;10
20201123;2020;11;Noviembre;23;Lunes;10
20201127;2020;11;Noviembre;27;Viernes;11
20201128;2020;11;Noviembre;28;Sábado;11
20201129;2020;11;Noviembre;29;Domingo;11
20201130;2020;11;Noviembre;30;Lunes;11
20201204;2020;12;Diciembre;4;Viernes;12
20201205;2020;12;Diciembre;5;Sábado;12
20201206;2020;12;Diciembre;6;Domingo;12
20201207;2020;12;Diciembre;7;Lunes;12
20201211;2020;12;Diciembre;11;Viernes;13
20201212;2020;12;Diciembre;12;Sábado;13
20201213;2020;12;Diciembre;13;Domingo;13
20201214;2020;12;Diciembre;14;Lunes;13
20201215;2020;12;Diciembre;15;Martes;19
20201216;2020;12;Diciembre;16;Miércoles;19
20201218;2020;12;Diciembre;18;Viernes;14
20201219;2020;12;Diciembre;19;Sábado;14
20201220;2020;12;Diciembre;20;Domingo;14
20201222;2020;12;Diciembre;22;Martes;15
20201223;2020;12;Diciembre;23;Miércoles;15
20201229;2020;12;Diciembre;29;Martes;16
20201230;2020;12;Diciembre;30;Miércoles;16
20201231;2020;12;Diciembre;31;Jueves;16
20210102;2021;1;Enero;2;Sábado;17
20210103;2021;1;Enero;3;Domingo;17
20210104;2021;1;Enero;4;Lunes;17
20210106;2021;1;Enero;6;Miércoles;2
20210108;2021;1;Enero;8;Viernes;18
20210109;2021;1;Enero;9;Sábado;18
20210110;2021;1;Enero;10;Domingo;18
20210111;2021;1;Enero;11;Lunes;18
20210112;2021;1;Enero;12;Martes;4
20210119;2021;1;Enero;19;Martes;19
20210120;2021;1;Enero;20;Miércoles;19
20210121;2021;1;Enero;21;Jueves;19
20210122;2021;1;Enero;22;Viernes;20
20210123;2021;1;Enero;23;Sábado;20
20210124;2021;1;Enero;24;Domingo;20
20210125;2021;1;Enero;25;Lunes;20
20210129;2021;1;Enero;29;Viernes;21
20210130;2021;1;Enero;30;Sábado;21
20210131;2021;1;Enero;31;Domingo;21
20210201;2021;2;Febrero;1;Lunes;21
20210205;2021;2;Febrero;5;Viernes;22
20210206;2021;2;Febrero;6;Sábado;22
20210207;2021;2;Febrero;7;Domingo;22
20210208;2021;2;Febrero;8;Lunes;22
20210209;2021;2;Febrero;9;Martes;1
20210212;2021;2;Febrero;12;Viernes;23
20210213;2021;2;Febrero;13;Sábado;23
